parameters 12 11 10 9 8 7 6 5 4 3 2 1
1  V V V V V V V V V V V
2 A A A O A A O A A A
3 V V V V V O V A X
4 X V V V V V O A
5 V V V V V V V
6 O V A V A O
7 A V A O A
8 A V V V
9 O A A
10 A V
11 A
12
