parameters 11 10 9 8 7 6 5 4 3 2 1
1 X A X A X A O V V V
2 O A X A V A V V X
3 O O O A O O O X
4 X A O A X A X
5 X O V A V A
6 X A A A V
7 V A A A
8 V A X
9 X A
10 V
11
